  ArrayTaskID    alpha    beta    walker_wl    overlap_wl    seed_hist    seed_run    num_interactions    replica_exchange_steps    intervals_main    iterations    time_limit    histogram_scale    qubit_specific_noise    num_loops    num_walker_prerun    num_intervals_prerun    error_mean    error_variance    index    prob_x_err    prob_y_err    prob_z_err    x    y    xh_err    xv_err    zh_err    zv_err
           15      0.8   1e-08            4          0.25            1          15                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       30          0.11         1e-06         1e-06    6    6         1         0         0         0
           16      0.8   1e-08            4          0.25            1          16                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       31          0.11         1e-06         1e-06    6    6         1         1         0         0
           17      0.8   1e-08            4          0.25            1          17                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       32          0.12         1e-06         1e-06    4    4         0         0         0         0
           18      0.8   1e-08            4          0.25            1          18                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       33          0.12         1e-06         1e-06    4    4         0         1         0         0
           19      0.8   1e-08            4          0.25            1          19                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       34          0.12         1e-06         1e-06    4    4         1         0         0         0
           20      0.8   1e-08            4          0.25            1          20                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       35          0.12         1e-06         1e-06    4    4         1         1         0         0
           21      0.8   1e-08            4          0.25            1          21                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       44          0.12         1e-06         1e-06    6    6         0         0         0         0
           22      0.8   1e-08            4          0.25            1          22                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       45          0.12         1e-06         1e-06    6    6         0         1         0         0
           23      0.8   1e-08            4          0.25            1          23                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       46          0.12         1e-06         1e-06    6    6         1         0         0         0
           24      0.8   1e-08            4          0.25            1          24                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       47          0.12         1e-06         1e-06    6    6         1         1         0         0
           25      0.8   1e-08            4          0.25            1          25                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       48          0.13         1e-06         1e-06    4    4         0         0         0         0
           26      0.8   1e-08            4          0.25            1          26                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       49          0.13         1e-06         1e-06    4    4         0         1         0         0
           27      0.8   1e-08            4          0.25            1          27                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       50          0.13         1e-06         1e-06    4    4         1         0         0         0
           28      0.8   1e-08            4          0.25            1          28                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       51          0.13         1e-06         1e-06    4    4         1         1         0         0
           29      0.8   1e-08            4          0.25            1          29                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       60          0.13         1e-06         1e-06    6    6         0         0         0         0
           30      0.8   1e-08            4          0.25            1          30                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       61          0.13         1e-06         1e-06    6    6         0         1         0         0
           31      0.8   1e-08            4          0.25            1          31                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       62          0.13         1e-06         1e-06    6    6         1         0         0         0
           32      0.8   1e-08            4          0.25            1          32                1000                        10                10          1000          1000                  1                       0          100                  512                      20             0                 0       63          0.13         1e-06         1e-06    6    6         1         1         0         0
