  ArrayTaskID    alpha    beta    walker_wl    overlap_wl    seed_hist    seed_run    num_interactions    replica_exchange_steps    intervals_main    iterations    time_limit    histogram_scale    qubit_specific_noise    num_loops    num_walker_prerun    num_intervals_prerun    error_mean    error_variance    prob_x_err    prob_y_err    prob_z_err    x    y    xh_err    xv_err    zh_err    zv_err
           11      0.8   1e-08            4          0.25            1          11                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         1         0         1         0
           12      0.8   1e-08            4          0.25            1          12                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         1         0         1         1
           13      0.8   1e-08            4          0.25            1          13                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         1         1         0         0
           14      0.8   1e-08            4          0.25            1          14                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         1         1         0         1
           15      0.8   1e-08            4          0.25            1          15                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         1         1         1         0
           16      0.8   1e-08            4          0.25            1          16                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    8    8         1         1         1         1
           17      0.8   1e-08            4          0.25            1          17                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         0         0         0         0
           18      0.8   1e-08            4          0.25            1          18                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         0         0         0         1
           19      0.8   1e-08            4          0.25            1          19                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         0         0         1         0
           20      0.8   1e-08            4          0.25            1          20                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         0         0         1         1
           21      0.8   1e-08            4          0.25            1          21                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         0         1         0         0
           22      0.8   1e-08            4          0.25            1          22                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         0         1         0         1
           23      0.8   1e-08            4          0.25            1          23                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         0         1         1         0
           24      0.8   1e-08            4          0.25            1          24                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         0         1         1         1
           25      0.8   1e-08            4          0.25            1          25                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         1         0         0         0
           26      0.8   1e-08            4          0.25            1          26                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         1         0         0         1
           27      0.8   1e-08            4          0.25            1          27                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         1         0         1         0
           28      0.8   1e-08            4          0.25            1          28                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         1         0         1         1
           29      0.8   1e-08            4          0.25            1          29                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         1         1         0         0
           30      0.8   1e-08            4          0.25            1          30                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         1         1         0         1
           31      0.8   1e-08            4          0.25            1          31                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         1         1         1         0
           32      0.8   1e-08            4          0.25            1          32                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.05          0.05          0.05    8    8         1         1         1         1
           33      0.8   1e-08            4          0.25            1          33                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         0         0         0         0
           34      0.8   1e-08            4          0.25            1          34                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         0         0         0         1
           35      0.8   1e-08            4          0.25            1          35                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         0         0         1         0
           36      0.8   1e-08            4          0.25            1          36                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         0         0         1         1
           37      0.8   1e-08            4          0.25            1          37                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         0         1         0         0
           38      0.8   1e-08            4          0.25            1          38                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         0         1         0         1
           39      0.8   1e-08            4          0.25            1          39                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         0         1         1         0
           40      0.8   1e-08            4          0.25            1          40                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         0         1         1         1
           41      0.8   1e-08            4          0.25            1          41                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         1         0         0         0
           42      0.8   1e-08            4          0.25            1          42                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         1         0         0         1
           43      0.8   1e-08            4          0.25            1          43                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         1         0         1         0
           44      0.8   1e-08            4          0.25            1          44                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         1         0         1         1
           45      0.8   1e-08            4          0.25            1          45                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         1         1         0         0
           46      0.8   1e-08            4          0.25            1          46                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         1         1         0         1
           47      0.8   1e-08            4          0.25            1          47                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         1         1         1         0
           48      0.8   1e-08            4          0.25            1          48                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.06          0.06          0.06    8    8         1         1         1         1
           49      0.8   1e-08            4          0.25            1          49                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         0         0         0         0
           50      0.8   1e-08            4          0.25            1          50                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         0         0         0         1
           51      0.8   1e-08            4          0.25            1          51                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         0         0         1         0
           52      0.8   1e-08            4          0.25            1          52                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         0         0         1         1
           53      0.8   1e-08            4          0.25            1          53                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         0         1         0         0
           54      0.8   1e-08            4          0.25            1          54                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         0         1         0         1
           55      0.8   1e-08            4          0.25            1          55                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         0         1         1         0
           56      0.8   1e-08            4          0.25            1          56                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         0         1         1         1
           57      0.8   1e-08            4          0.25            1          57                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         1         0         0         0
           58      0.8   1e-08            4          0.25            1          58                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         1         0         0         1
           59      0.8   1e-08            4          0.25            1          59                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         1         0         1         0
           60      0.8   1e-08            4          0.25            1          60                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         1         0         1         1
           61      0.8   1e-08            4          0.25            1          61                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         1         1         0         0
           62      0.8   1e-08            4          0.25            1          62                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         1         1         0         1
           63      0.8   1e-08            4          0.25            1          63                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         1         1         1         0
           64      0.8   1e-08            4          0.25            1          64                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.08          0.08          0.08    8    8         1         1         1         1
           65      0.8   1e-08            4          0.25        10001          65                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         0         0         0         0
           66      0.8   1e-08            4          0.25        10001          66                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         0         0         0         1
           67      0.8   1e-08            4          0.25        10001          67                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         0         0         1         0
           68      0.8   1e-08            4          0.25        10001          68                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         0         0         1         1
           69      0.8   1e-08            4          0.25        10001          69                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         0         1         0         0
           70      0.8   1e-08            4          0.25        10001          70                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         0         1         0         1
           71      0.8   1e-08            4          0.25        10001          71                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         0         1         1         0
           72      0.8   1e-08            4          0.25        10001          72                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         0         1         1         1
           73      0.8   1e-08            4          0.25        10001          73                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         1         0         0         0
           74      0.8   1e-08            4          0.25        10001          74                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         1         0         0         1
           75      0.8   1e-08            4          0.25        10001          75                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         1         0         1         0
           76      0.8   1e-08            4          0.25        10001          76                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         1         0         1         1
           77      0.8   1e-08            4          0.25        10001          77                7000                        20                16         10000          7200                  1                       0         1000                  512                      64             0                 0          0.03          0.03          0.03    4    4         1         1         0         0
